Player,Team,Position,Apps,Mins,Goals,Assists,YelCard,RedCard,SpG,PS,AerialsWon,MotM,Ratting
Joelinton,"Newcastle,",", AM(CLR),FW",12(1),1060,1,1,5,-,1.5,81.7,1.8,1,7.22
Konstantinos Mavropanos,"Stuttgart,",", D(CR)",13,1149,2,1,5,-,1.9,79.9,2.5,1,7.22
Pedri,"Barcelona,",", AM(CL)",12(2),1030,3,-,-,-,0.7,91.1,0.1,2,7.21
Marco Verratti,"PSG,",", M(C)",14,1060,-,-,5,-,0.2,94,0.2,-,7.21
Willi Orbán,"RBL,",", D(C)",15,1350,3,-,1,-,1,88.4,3.5,-,7.21
Lorenzo Pellegrini,"Roma,",", M(CL)",13,1105,1,4,2,-,2.5,79.5,0.5,4,7.21
Lautaro Martínez,"Inter,",", FW",14(1),1219,7,3,1,-,3.4,75.1,1.1,2,7.21
Benjamin Pavard,"Bayern,",", D(CLR),M(R)",11(2),1018,1,-,2,-,1.1,89.1,1.5,1,7.21
Roberto Firmino,"Liverpool,",", M(CLR),FW",11(2),937,7,3,-,-,2.5,79.6,1,2,7.20
Antoine Griezmann,"Atletico,",", AM(CLR),FW",7(7),772,5,3,-,-,1.9,84.7,0.5,2,7.20
Mattia Zaccagni,"Lazio,",", AM(CL),FW",13,1026,5,3,2,-,1.7,83.9,0.2,1,7.19
Miguel Almirón,"Newcastle,",", AM(CLR),FW",15,1264,8,1,-,-,2.5,85.5,0.3,1,7.19
Maximilian Arnold,"Wolfsburg,",", M(CR)",15,1310,3,2,4,-,1.1,81,0.9,2,7.19
Brais Méndez,"Real Sociedad,",", AM(CR),FW",13(1),1125,6,2,4,-,2.1,84.3,0.6,-,7.18
Armand Laurienté,"Sassuolo,",", AM(LR),FW",9,753,2,3,1,1,2.1,81.6,0.1,2,7.18
Frank Anguissa,"Napoli,",", M(C)",13,1098,2,3,1,-,1.8,88.5,1.4,1,7.18
Hakan Çalhanoglu,"Inter,",", M(CLR),FW",13(1),1079,2,4,1,-,1.7,87.5,0.5,2,7.17
Joselu,"Espanyol,",", FW",14,1260,7,1,1,-,2.7,61.8,5.1,1,7.17
Aleix García,"Girona,",", DMC",14,1247,-,3,1,-,1.4,89.7,0.5,1,7.17
Sadio Mané,"Bayern,",", AM(CLR),FW",12(2),913,6,3,1,-,2.9,74.8,0.7,-,7.17
Fabian Schär,"Newcastle,",", D(C)",14,1245,1,-,4,-,1.1,75.7,2.4,-,7.17
José Gayà,"Valencia,",", D(L),M(L)",10,866,-,2,1,-,1,83.8,0.8,2,7.17
Rafal Gikiewicz,"Augsburg,",", GK",11,990,-,-,2,-,-,60.3,-,3,7.17
Bruno Fernandes,"Man Utd,",", M(CLR)",13,1170,2,1,5,-,2,77.8,0.6,1,7.16
Piotr Zielinski,"Napoli,",", M(CL)",11(4),917,3,5,-,-,1.7,84.3,-,1,7.16
Ciro Immobile,"Lazio,",", FW",10(1),818,6,3,2,-,2.5,75.1,0.5,3,7.16
Daichi Kamada,"Eintracht Frankfurt,",", AM(CLR),FW",11(2),964,7,3,1,-,1.5,84.5,0.4,2,7.15
Aurélien Tchouaméni,"Real Madrid,",", DMC",11(1),903,-,2,1,-,1.2,93.2,1.8,1,7.15
Gianluigi Donnarumma,"PSG,",", GK",15,1350,-,-,1,-,-,86.8,0.2,2,7.15
João Cancelo,"Man City,",", D(LR),M(R)",14,1121,2,1,3,1,1.1,87.3,1.7,1,7.15
Lucas Martínez,"Fiorentina,",", D(C)",12(1),1046,1,-,2,-,0.9,83.5,3.2,1,7.14
Bernd Leno,"Fulham,",", GK",13,1170,-,-,-,-,-,74.3,0.5,1,7.14
Nabil Bentaleb,"Angers,",", M(C)",12,1074,2,1,-,-,1.1,82.3,1.3,3,7.14
Gerónimo Rulli,"Villarreal,",", GK",14,1260,-,-,1,-,-,83.7,0.2,2,7.14
Vedat Muriqi,"Mallorca,",", FW",12,1043,8,1,3,1,3.1,61.1,4.8,3,7.14
Moussa Diaby,"Leverkusen,",", M(CLR),FW",15,1257,6,3,1,-,1.9,80.9,0.2,1,7.13
Yann Sommer,"Borussia M.Gladbach,",", GK",10,900,-,-,-,-,-,80.5,-,2,7.13
Dodi Lukébakio,"Hertha Berlin,",", AM(CLR),FW",15,1266,7,1,5,-,2.5,72.9,0.7,3,7.13
Bernardo Silva,"Man City,",", M(CLR),FW",12(2),1069,2,5,1,-,1,89.9,-,-,7.12
Branco van den Boomen,"Toulouse,",", DMC",15,1330,1,4,2,-,1.8,82.6,0.2,-,7.12
Andrei Girotto,"Nantes,",", D(C),DMC",14,1245,-,1,3,-,0.7,84.4,2.1,1,7.12
Rafael Leão,"AC Milan,",", AM(L),FW",12(2),1012,6,4,2,1,3.6,79.4,0.7,4,7.12
Kim Min-Jae,"Napoli,",", D(C)",14,1260,2,-,2,-,0.4,89.6,3.1,-,7.11
Breel Embolo,"Monaco,",", AM(CR),FW",13(2),1094,7,2,2,-,1.6,68,1.1,1,7.10
Ilkay Gündogan,"Man City,",", M(C)",10(2),894,2,2,-,-,1.8,89.7,0.9,-,7.10
Gerard Deulofeu,"Udinese,",", AM(CLR),FW",15,1206,2,6,1,-,2.9,80.2,0.1,2,7.10
Guido Rodríguez,"Real Betis,",", DMC",12,1045,-,-,2,-,0.7,88.7,1.1,1,7.10
Son Heung-Min,"Tottenham,",", M(CLR),FW",12(1),1035,3,2,-,-,2.8,80.6,0.3,2,7.10
Achraf Hakimi,"PSG,",", D(LR),M(R)",12(2),1076,3,1,3,-,0.6,89.2,0.3,-,7.09
Terem Moffi,"Lorient,",", AM(R),FW",13(1),1043,10,-,1,-,1.9,74.7,0.9,1,7.09
Romain Del Castillo,"Brest,",", AM(LR),FW",6(3),517,4,2,2,-,1.7,71.9,0.2,2,7.09
Ismaël Bennacer,"AC Milan,",", DMC",12(3),1071,1,1,2,-,0.4,88.7,0.9,1,7.09
Seko Fofana,"Lens,",", M(C)",12(1),1116,3,2,-,-,2.3,90.7,0.5,2,7.08
Matthias Ginter,"Freiburg,",", D(CR),DMC",15,1350,2,1,2,-,0.6,84.2,3.4,-,7.08
Rafael Tolói,"Atalanta,",", D(C)",10,857,1,-,3,-,1,75.3,1.6,1,7.08
Adam Ounas,"Lille,",", AM(CLR),FW",7(3),665,1,1,1,-,1.9,80.2,0.4,-,7.08
Alphonso Davies,"Bayern,",", D(L),M(LR)",12,1005,-,1,-,-,0.6,89.1,0.2,1,7.08
Nuno Mendes,"PSG,",", D(L),M(L)",8(4),753,1,3,1,-,0.4,85.9,0.4,-,7.08
Paulo Otávio,"Wolfsburg,",", D(L),M(L)",13,1132,-,4,4,-,0.7,75.2,1.2,-,7.07
Pau López,"Marseille,",", GK",12,1080,-,1,1,-,-,75.4,0.2,-,7.07
Alassane Plea,"Borussia M.Gladbach,",", AM(CLR),FW",10(1),830,2,7,2,-,1.4,71.9,0.5,2,7.07
Pierre-Emile Højbjerg,"Tottenham,",", M(C)",14,1245,3,2,1,-,1.1,89.2,0.4,1,7.07
Toni Kroos,"Real Madrid,",", M(C)",10(1),863,1,2,-,1,1.1,94.6,0.3,1,7.06
Florian Kainz,"FC Koln,",", AM(CLR)",13(1),1043,5,4,1,1,2.1,72.5,0.4,2,7.06
Casemiro,"Man Utd,",", DMC",7(4),709,1,1,2,-,0.8,79.1,2.1,1,7.06
Wilfried Zaha,"Crystal Palace,",", AM(LR),FW",13,1149,6,2,3,-,2.7,82.9,0.3,2,7.06
Jeremie Frimpong,"Leverkusen,",", D(R),M(R)",14(1),1182,5,2,1,-,1,79.2,0.4,1,7.06
Florian Tardieu,"Troyes,",", M(C)",10(1),880,3,-,2,-,1,90.5,0.6,-,7.05
Alexis Mac Allister,"Brighton,",", M(CL),FW",14,1257,5,-,4,-,1.9,88.7,0.6,1,7.05
Leon Goretzka,"Bayern,",", M(CR)",9(2),706,3,1,1,-,2,82.1,1.6,1,7.05
Leandro Trossard,"Brighton,",", M(CLR),FW",14,1183,7,2,1,-,2.6,74.2,0.4,2,7.05
Callum Wilson,"Newcastle,",", FW",10(1),795,6,2,1,-,2.5,71.6,1,1,7.05
Yeray Álvarez,"Athletic Bilbao,",", D(C)",12,1058,-,1,2,-,0.4,81.7,2.2,1,7.04
Pascal Struijk,"Leeds,",", D(CL),DMC",13,1165,1,1,2,-,0.8,79.5,2.5,-,7.04
Aleksandr Golovin,"Monaco,",", M(CLR)",11(3),969,3,3,1,-,1.9,75.3,0.4,2,7.04
Ivan Provedel,"Lazio,",", GK",14(1),1342,-,-,-,-,-,75.7,0.2,-,7.04
Felipe Anderson,"Lazio,",", M(CLR),FW",15,1226,3,2,1,-,1,79.9,0.3,1,7.03
Nicolò Barella,"Inter,",", AM(C)",15,1288,5,5,2,-,0.9,84,0.9,1,7.03
Thiago Silva,"Chelsea,",", D(C)",11(1),1073,-,2,1,-,0.5,89.6,2.3,1,7.03
Jonathan Clauss,"Marseille,",", D(R),M(R)",14,1112,1,5,-,-,1.4,76.3,0.2,2,7.03
Ardian Ismajli,"Empoli,",", D(C)",10(1),935,-,-,1,-,0.5,81.5,2.3,2,7.03
Téji Savanier,"Montpellier,",", M(C)",12,1024,4,1,2,1,2.1,77.7,0.5,2,7.03
Juan Cuadrado,"Juventus,",", D(R),M(CLR),FW",13(1),1029,-,3,3,1,1.1,85.7,0.4,2,7.03
Granit Xhaka,"Arsenal,",", D(L),M(C)",14,1169,3,3,2,-,1.1,85.1,1.1,1,7.03
Alisson,"Liverpool,",", GK",14,1260,-,1,-,-,-,81.6,0.3,2,7.03
Jaka Bijol,"Udinese,",", D(C),M(C),FW",12,941,2,-,3,-,0.3,85.4,3.1,1,7.03
Alessio Romagnoli,"Lazio,",", D(CL)",13(1),1195,1,-,-,-,0.5,89.5,2.1,1,7.03
Enes Ünal,"Getafe,",", FW",14,1220,4,2,3,-,2.2,63.7,4.6,2,7.03
Ramy Bensebaïni,"Borussia M.Gladbach,",", D(CL),DMC,M(L)",14,1251,5,-,3,-,1.6,77,2.4,-,7.02
Fabiano Parisi,"Empoli,",", D(L)",14,1222,2,-,3,-,0.9,75.2,0.8,-,7.02
Manuel Locatelli,"Juventus,",", M(C)",12,978,-,-,3,-,0.9,83.3,1.2,-,7.02
Frederik Rønnow,"Union Berlin,",", GK",11,990,-,-,1,-,-,67.3,0.3,2,7.02
Mama Baldé,"Troyes,",", D(R),M(CLR),FW",14(1),1212,7,3,2,1,2.9,70.6,1.3,3,7.02
Nico Schlotterbeck,"Borussia Dortmund,",", D(C)",15,1285,1,2,3,-,0.5,86.4,2.5,-,7.02
Benjamin Bourigeaud,"Rennes,",", M(CLR)",15,1190,2,4,-,-,1.5,78.6,0.1,1,7.02
Theo Hernández,"AC Milan,",", D(L),M(L)",13,1155,2,2,5,-,2.2,79.5,1.4,1,7.01
Mats Hummels,"Borussia Dortmund,",", D(C)",13,1062,-,-,4,-,0.4,88.5,2.5,-,7.01
Rasmus Nicolaisen,"Toulouse,",", D(C)",14,1197,-,2,2,1,0.4,82.4,4,1,7.01
Mitchell Weiser,"Werder Bremen,",", D(R),M(R)",15,1290,1,6,4,-,0.9,71.2,0.9,1,7.01
Ibañez,"Roma,",", D(C)",15,1350,1,-,3,-,0.6,89.3,1.6,-,7.01
Dusan Vlahovic,"Juventus,",", FW",10,854,6,1,-,-,3.1,71.3,1.7,2,7.00
Sergi Darder,"Espanyol,",", M(CL)",14,1235,2,1,2,-,1.3,78.8,0.1,2,7.00
Rúben Neves,"Wolves,",", DMC",14,1260,4,-,6,-,1.9,85.1,0.8,3,7.00
Anton Stach,"Mainz,",", M(C)",12(1),1018,1,3,3,-,1.5,70,2.5,1,7.00
Alejandro Balde,"Barcelona,",", D(LR)",12,973,-,3,2,-,0.5,91.7,0.3,-,7.00
Caio Henrique,"Monaco,",", D(L),M(CL)",12(1),1086,1,5,2,-,0.5,78.5,0.1,1,7.00
Diogo Dalot,"Man Utd,",", D(LR),M(R)",13,1166,-,1,5,-,0.8,77.8,1.8,2,7.00
Isi Palazón,"Rayo Vallecano,",", AM(R)",12(1),997,3,3,1,-,2.3,84.3,0.6,-,7.00
Julian Brandt,"Borussia Dortmund,",", M(CLR),FW",12(3),1060,4,2,-,-,0.9,82.6,0.3,1,6.99
Nicolás Tagliafico,"Lyon,",", D(CL),M(L)",15,1329,1,2,2,-,0.7,88.1,1,1,6.99
Eberechi Eze,"Crystal Palace,",", AM(CLR)",14,1148,2,3,-,-,1.9,84.5,0.4,1,6.99
James Tarkowski,"Everton,",", D(C)",15,1350,-,-,2,-,0.7,81.6,3,1,6.99
Wataru Endo,"Stuttgart,",", DMC",14,1215,2,-,-,-,1.6,75.9,2.4,-,6.99
Axel Disasi,"Monaco,",", D(C)",15,1350,1,3,2,-,0.7,82.5,2.3,1,6.99
Ben Mee,"Brentford,",", D(CL)",14,1210,2,1,1,-,0.7,78,3.6,1,6.99
Iago Aspas,"Celta Vigo,",", AM(CR),FW",12(2),1121,7,2,2,-,2,79.6,0.6,1,6.99
Wout Faes,"Leicester,",", D(C)",9,810,-,-,1,-,0.3,85.9,2,-,6.99
Jean-Ricner Bellegarde,"Strasbourg,",", M(CLR)",15,1300,1,3,3,-,1.1,80.7,0.5,3,6.99
Marvin Ducksch,"Werder Bremen,",", FW",15,1307,3,3,1,-,2.8,71.9,0.7,1,6.98
Kevin Danso,"Lens,",", D(C)",15,1350,1,1,3,-,0.6,88.9,2.5,2,6.98
Mohamed Salah,"Liverpool,",", AM(CLR),FW",14,1239,6,3,-,-,3.6,76.4,0.1,-,6.98
Teun Koopmeiners,"Atalanta,",", D(C),M(C)",14(1),1296,4,1,3,-,1.8,76.4,0.8,1,6.98
Danilo,"Juventus,",", D(CLR),DMC",14(1),1272,-,2,2,-,0.6,83.4,1.3,-,6.98
Koen Casteels,"Wolfsburg,",", GK",15,1350,-,-,-,-,-,74,0.1,1,6.98
Darwin Núñez,"Liverpool,",", AM(CL),FW",7(3),606,5,2,-,1,3.9,74.3,1.4,2,6.98
Lee Kang-In,"Mallorca,",", AM(CLR),FW",13(1),1097,2,3,4,-,1.4,82.3,0.2,2,6.97
Gabriel Magalhães,"Arsenal,",", D(C)",14,1260,2,-,2,-,0.9,89.9,2.1,2,6.97
Jonathan Bamba,"Lille,",", AM(CLR),FW",14(1),1256,4,3,3,-,2,82.6,0.9,-,6.97
Dejan Kulusevski,"Tottenham,",", AM(CR),FW",7(2),615,1,5,-,-,1.4,84.5,0.2,1,6.97
