Player,Team,Position,Apps,Mins,Goals,Assists,YelCard,RedCard,SpG,PS,AerialsWon,MotM,Ratting
Lukasz Skorupski,Bologna,GK,15,1350,0,0,2,0,0.0,73.8,0.3,0,6.65
Robin Knoche,Union Berlin,D(C),14,1260,1,0,2,0,0.3,81.2,1.4,0,6.65
Germán Pezzella,Real Betis,D(C),10,912,0,0,2,2,0.4,88.5,1.3,0,6.65
Íñigo Lekue,Athletic Bilbao,"D(LR),M(LR)",10,949,0,1,1,0,0.8,82.8,1.0,0,6.65
Castello Lukeba,Lyon,D(C),14,1260,1,0,2,0,0.2,88.9,1.1,0,6.65
Gianluca Mancini,Roma,"D(C),DMC",15,1200,0,1,4,0,0.5,84.9,1.7,0,6.65
Tom Krauß,Schalke,DMC,15,1239,1,0,2,0,0.9,75.4,0.5,0,6.65
Memeh Okoli,Atalanta,D(C),9,842,0,0,3,0,0.4,76.9,3.1,1,6.65
Yannick Carrasco,Atletico,"M(CLR),FW",8,742,1,0,1,0,1.6,84.2,0.2,0,6.65
Pau Torres,Villarreal,D(C),13,1170,0,0,5,0,0.3,86.6,1.4,0,6.64
Anthony Gordon,Everton,AM(LR),11,986,3,0,6,0,1.6,77.2,0.6,1,6.64
Steffen Tigges,FC Koln,FW,9,726,3,0,0,0,1.0,58.0,2.8,1,6.64
Patrik Schick,Leverkusen,"AM(R),FW",10,861,2,0,0,0,2.5,70.0,2.4,0,6.64
Tuta,Eintracht Frankfurt,D(C),15,1341,1,0,3,0,0.4,80.4,1.3,0,6.64
Joaquín Fernández,Real Valladolid,"D(C),DMC",10,955,1,0,2,0,0.5,84.0,1.9,1,6.64
Ricardo Rodríguez,Torino,"D(CL),M(L)",10,946,0,0,0,0,0.4,85.8,1.0,0,6.64
Edimilson Fernandes,Mainz,"D(C),M(CR)",9,821,0,1,2,0,0.5,75.1,0.6,0,6.64
Corentin Tolisso,Lyon,"D(R),M(CR)",7,546,0,0,1,0,0.5,88.5,0.7,0,6.64
Óliver Torres,Sevilla,M(CLR),12,860,3,0,1,0,0.6,80.1,0.1,1,6.64
André Silva,RBL,FW,9,796,2,1,1,0,1.7,72.5,0.5,0,6.64
Ashley Young,Aston Villa,"D(LR),M(LR)",7,726,1,0,3,0,0.5,76.8,0.9,0,6.64
Marco Silvestri,Udinese,GK,15,1350,0,0,0,0,0.0,73.1,0.2,0,6.64
Arnaud Kalimuendo,Rennes,FW,8,610,3,1,0,0,1.2,83.3,0.4,0,6.64
Matteo Bianchetti,Cremonese,D(C),9,905,1,0,1,0,0.5,78.7,2.2,0,6.64
Filippo Bandinelli,Empoli,M(C),13,1060,2,0,3,0,0.9,76.5,0.3,1,6.64
Oliver Christensen,Hertha Berlin,GK,15,1350,0,0,1,0,0.0,67.8,0.2,1,6.64
Lucas Torró,Osasuna,DMC,14,1127,0,0,5,0,1.0,82.1,1.9,0,6.64
Lee Jae-Sung,Mainz,"AM(CL),FW",10,821,2,1,1,0,0.9,77.0,1.1,1,6.64
Komnen Andric,Clermont Foot,FW,13,1020,4,1,3,0,1.5,76.8,2.1,0,6.64
Jhon Lucumí,Bologna,D(C),12,1012,0,1,3,0,0.2,86.2,1.5,0,6.64
Idrissa Gueye,Everton,M(C),9,742,0,0,3,0,0.0,85.5,0.8,0,6.64
Mehdi Bourabia,Spezia,M(C),14,1142,0,1,1,0,0.5,80.3,0.6,0,6.63
Robert Skov,Hoffenheim,"D(L),M(LR)",12,941,3,1,1,0,2.2,72.1,0.4,1,6.63
Janik Haberer,Union Berlin,"M(CLR),FW",13,859,3,1,0,0,1.2,68.4,1.1,0,6.63
Jaume Costa,Mallorca,"D(LR),M(L)",11,966,0,1,4,0,0.6,79.0,0.9,0,6.63
Giorgi Mamardashvili,Valencia,GK,14,1260,0,0,1,0,0.0,76.3,0.2,0,6.63
Harvey Elliott,Liverpool,AM(CR),10,862,1,1,0,0,1.4,83.4,0.1,0,6.63
Maximilian Eggestein,Freiburg,M(CR),11,1021,0,2,1,0,0.4,79.0,1.4,0,6.63
Weston McKennie,Juventus,"D(C),M(CLR)",9,723,1,1,0,0,0.7,82.6,0.5,0,6.63
Marvin Plattenhardt,Hertha Berlin,"D(L),M(L)",13,1000,0,2,2,0,0.2,75.0,0.5,1,6.63
Angel Gomes,Lille,"M(CL),FW",14,1107,1,1,4,0,1.5,88.3,0.1,0,6.63
Ethan Ampadu,Spezia,"D(C),DMC",10,838,0,1,3,0,0.9,76.5,2.4,1,6.63
Emil Audero,Sampdoria,GK,15,1350,0,0,0,0,0.0,63.2,0.2,4,6.63
Romain Perraud,Southampton,"D(L),M(L)",10,854,2,2,1,0,1.5,76.2,0.3,1,6.63
Maxence Lacroix,Wolfsburg,D(C),9,805,1,0,0,0,0.2,86.5,2.4,1,6.63
Manuel Lazzari,Lazio,"D(R),M(R)",13,1002,0,0,4,0,0.1,89.1,0.2,0,6.63
Maya Yoshida,Schalke,D(CR),15,1339,0,0,3,0,0.3,77.8,2.5,0,6.63
Nemanja Matic,Roma,DMC,7,794,1,1,1,0,0.4,85.7,0.5,0,6.63
Andy Delort,Nice,"AM(R),FW",9,749,5,0,0,0,2.1,65.0,2.1,1,6.63
Franco Cervi,Celta Vigo,AM(CL),12,1025,0,2,0,1,1.1,77.4,0.2,0,6.63
Odsonne Édouard,Crystal Palace,"AM(L),FW",9,771,3,2,3,0,1.3,77.9,1.0,0,6.63
Tim Ream,Fulham,"D(CL),DMC",15,1348,0,0,1,0,0.1,85.9,1.5,0,6.63
Ollie Watkins,Aston Villa,"AM(LR),FW",13,1173,2,3,1,0,1.9,72.0,2.3,1,6.63
Bradley Locko,Reims,"D(L),M(L)",13,1058,0,0,3,1,0.4,81.2,0.9,0,6.62
Nicolas Cozza,Montpellier,D(CL),14,1236,2,1,3,0,0.5,72.9,1.4,0,6.62
Youssouf Sabaly,Real Betis,"D(LR),M(R)",7,631,0,0,0,0,0.3,82.6,0.3,0,6.62
Álex Baena,Villarreal,AM(C),5,626,4,0,4,1,1.4,77.7,0.1,2,6.62
Christopher Jullien,Montpellier,D(C),10,900,0,0,1,0,0.6,82.9,2.9,0,6.62
Demarai Gray,Everton,"AM(CLR),FW",15,1289,1,0,1,0,1.9,79.3,0.5,0,6.62
Wesley Saïd,Lens,"AM(CLR),FW",4,398,5,0,1,0,1.5,84.9,0.1,0,6.62
Sasa Lukic,Torino,M(C),10,924,2,0,3,0,1.0,88.7,1.0,1,6.62
Robert Andrich,Leverkusen,M(C),12,982,1,2,5,0,0.7,84.0,1.1,0,6.62
Chris Führich,Stuttgart,"M(CLR),FW",10,880,2,0,2,0,1.1,79.7,0.1,0,6.62
Wilfried Kanga,Hertha Berlin,FW,10,938,2,0,2,0,1.5,65.3,2.6,0,6.62
Axel Witsel,Atletico,"D(C),M(C)",12,1068,0,0,2,0,0.4,93.6,1.3,0,6.62
Martin Valjent,Mallorca,D(C),13,1156,0,0,5,0,0.0,82.3,0.8,0,6.62
Pedro,Lazio,"M(CLR),FW",5,679,2,2,0,0,1.2,83.4,0.0,1,6.62
Robert Gumny,Augsburg,D(CLR),9,836,1,1,2,0,0.3,61.3,2.0,0,6.62
Marin Pongracic,Lecce,D(C),9,792,0,0,2,0,0.1,82.0,1.0,0,6.62
Lorenzo Montipò,Verona,GK,15,1350,0,0,0,0,0.0,62.3,0.0,0,6.62
Juan Bernat,PSG,"D(L),M(CL)",7,598,1,0,1,0,0.3,92.7,0.3,0,6.62
Raphaël Varane,Man Utd,D(C),8,686,0,0,1,0,0.1,83.8,1.6,0,6.62
Emerson Royal,Tottenham,"D(R),M(R)",11,904,0,1,1,1,0.8,82.0,1.0,0,6.62
Kike Pérez,Real Valladolid,AM(C),11,968,0,1,2,0,1.3,80.4,1.1,0,6.62
Renaud Ripart,Troyes,"D(R),M(CLR),FW",8,747,2,1,2,0,2.1,73.0,1.6,0,6.62
Gavin Bazunu,Southampton,GK,15,1350,0,0,0,0,0.0,57.4,0.5,1,6.61
Jirí Pavlenka,Werder Bremen,GK,15,1289,0,0,0,0,0.0,67.2,0.1,1,6.61
Mario Pasalic,Atalanta,M(CLR),11,879,1,2,1,0,0.6,80.7,1.4,1,6.61
Pablo Maffeo,Mallorca,"D(R),M(R)",12,1020,1,0,3,1,0.4,72.8,1.0,1,6.61
Óscar Plano,Real Valladolid,"AM(CLR),FW",8,831,1,1,1,0,1.0,76.2,0.9,0,6.61
Crysencio Summerville,Leeds,AM(R),4,468,4,0,1,0,1.1,77.9,0.2,0,6.61
Thomas Lemar,Atletico,AM(CLR),5,391,0,2,0,0,0.1,89.5,0.0,0,6.61
Evan Ndicka,Eintracht Frankfurt,D(CL),15,1343,0,0,2,0,0.3,86.6,2.5,1,6.61
Juan Iglesias,Getafe,"D(LR),M(R)",11,1026,1,0,4,0,0.8,65.3,0.4,0,6.61
Mikkel Desler,Toulouse,D(R),12,1009,0,1,0,1,0.4,85.5,0.8,0,6.61
Lukas Nmecha,Wolfsburg,"AM(CR),FW",10,822,4,0,3,0,1.8,65.3,1.4,0,6.61
Tyler Adams,Leeds,"D(R),M(CR)",13,1167,0,0,2,1,0.2,82.3,0.8,0,6.61
Xavier Chavalerin,Troyes,"DMC,M(L)",7,720,1,1,1,0,0.8,86.3,0.4,0,6.61
Désiré Doué,Rennes,Midfielder,3,401,2,0,3,0,0.8,84.8,0.1,0,6.61
Sead Kolasinac,Marseille,"D(CL),DMC,M(L)",6,491,1,1,1,0,0.2,82.9,0.4,0,6.61
Hugo Guillamón,Valencia,"D(C),DMC",11,919,1,4,4,0,0.2,84.7,0.9,0,6.61
Jean-Charles Castelletto,Nantes,D(C),11,929,0,0,1,0,0.3,81.1,2.6,0,6.61
David Okereke,Cremonese,"AM(CLR),FW",13,1155,3,0,2,0,1.9,69.6,1.5,0,6.61
Marten de Roon,Atalanta,"D(C),DMC",12,1030,0,1,3,0,0.2,79.1,1.3,0,6.61
Nuno da Costa,Auxerre,"AM(LR),FW",9,807,2,0,1,1,1.1,68.8,1.3,2,6.61
Bartlomiej Dragowski,Spezia,GK,14,1213,0,0,1,0,0.0,63.2,0.4,2,6.61
Saîf-Eddine Khaoui,Clermont Foot,AM(CR),8,744,2,2,1,0,1.1,74.2,0.2,0,6.61
Kerem Demirbay,Leverkusen,M(C),9,788,3,3,2,0,1.0,79.3,0.2,1,6.6
Mateusz Wieteska,Clermont Foot,D(C),15,1350,0,1,2,0,0.5,83.6,2.1,1,6.6
Valentín Castellanos,Girona,"AM(R),FW",14,1122,3,0,4,0,2.1,67.8,0.9,0,6.6
Alberto Grassi,Empoli,DMC,4,325,0,0,1,0,0.4,80.1,1.2,1,6.6
Samuele Ricci,Torino,M(C),8,713,0,1,2,0,0.6,91.4,0.2,0,6.6
Harrison Reed,Fulham,"D(R),M(CR)",14,1180,2,1,5,0,0.8,75.6,1.0,0,6.6
Sean Longstaff,Newcastle,DMC,11,1052,1,2,2,0,0.8,81.6,0.5,0,6.6
Marco Reus,Borussia Dortmund,"M(CLR),FW",7,640,2,2,2,0,1.4,77.9,0.4,0,6.6
Arthur Theate,Rennes,D(C),15,1350,1,0,2,0,0.5,89.1,1.6,0,6.6
Patson Daka,Leicester,FW,7,641,3,2,2,0,1.3,67.4,0.7,0,6.6
Thijs Dallinga,Toulouse,FW,12,907,3,1,3,0,1.3,67.7,1.5,0,6.6
Stephane Singo,Torino,M(R),8,750,0,1,3,0,0.7,76.6,1.8,0,6.6
Jan Thielmann,FC Koln,"AM(CLR),FW",5,488,1,1,2,0,0.9,68.3,0.6,1,6.6
Christian Eriksen,Man Utd,"M(CLR),FW",12,1048,1,4,1,0,1.5,82.0,0.4,1,6.6
Dimitri Payet,Marseille,"M(CLR),FW",5,464,1,3,0,0,1.2,79.5,0.1,0,6.6
Dwight McNeil,Everton,AM(CLR),8,735,2,0,2,0,0.7,80.2,0.3,2,6.6
Tosin Adarabioyo,Fulham,D(CR),10,900,1,0,0,0,0.3,80.2,2.2,0,6.6
Hiroki Ito,Stuttgart,D(C),12,1077,0,1,3,0,0.7,81.4,0.8,0,6.6
Geoffrey Kondogbia,Atletico,"D(C),DMC",8,720,0,1,3,0,0.7,89.9,0.9,0,6.6
Niklas Stark,Werder Bremen,"D(C),DMC",6,644,0,0,3,0,0.2,82.0,1.2,0,6.6
Aleksey Miranchuk,Torino,"M(CR),FW",9,684,2,1,0,0,1.3,84.0,0.3,1,6.6
Bobby De Cordova-Reid,Fulham,"D(R),M(CLR),FW",14,1216,3,1,6,0,1.2,72.9,0.4,0,6.6
Petar Stojanovic,Empoli,"D(R),M(R)",11,949,0,1,2,0,0.4,76.5,0.2,0,6.6
Ansgar Knauff,Eintracht Frankfurt,M(LR),7,639,1,0,1,0,1.0,64.5,0.3,0,6.6
Nehuén Pérez,Udinese,D(C),13,1065,1,0,3,1,0.5,85.2,1.0,1,6.6
Karol Linetty,Torino,M(CLR),11,954,1,0,5,0,0.6,86.6,0.8,1,6.6
Timo Hübers,FC Koln,D(C),11,1028,0,0,3,0,0.1,83.4,2.8,0,6.6
Henrikh Mkhitaryan,Inter,"M(CLR),FW",7,664,1,1,1,0,0.8,87.0,0.3,0,6.59
Michele Di Gregorio,Monza,GK,15,1350,0,0,0,0,0.0,74.1,0.1,0,6.59
Rani Khedira,Union Berlin,"D(C),DMC",14,1216,0,0,5,0,0.9,75.1,1.3,0,6.59
Lucas Digne,Aston Villa,"D(CL),M(L)",9,812,1,0,2,0,0.4,79.0,1.6,0,6.59
Boubacar Kamara,Aston Villa,"D(CL),DMC",8,671,0,0,2,0,0.2,83.5,1.1,0,6.59
Issiaga Sylla,Toulouse,"D(LR),M(L)",12,1051,0,0,2,0,0.5,79.3,0.8,1,6.59
Alban Lafont,Nantes,GK,14,1260,0,0,0,1,0.0,63.1,0.4,1,6.59
Benjamin Henrichs,RBL,"D(LR),DMC,M(LR)",10,974,0,1,5,0,0.9,73.2,0.8,0,6.59
Kevin Akpoguma,Hoffenheim,"D(CR),M(R)",8,836,0,0,4,0,0.2,78.7,1.7,0,6.59
Mërgim Vojvoda,Torino,"D(CR),M(LR)",4,448,0,3,1,0,0.3,81.9,0.2,0,6.59
Sergio Akieme,Almeria,D(L),14,1260,0,0,3,0,1.1,81.0,0.6,1,6.59
Brendan Chardonnet,Brest,D(C),13,1215,0,0,4,0,0.4,83.2,2.8,0,6.59
Moussa Sissoko,Nantes,M(CR),8,703,1,0,2,0,0.8,76.4,1.8,1,6.59
Eljif Elmas,Napoli,M(CLR),4,530,3,1,1,0,0.8,83.8,0.1,1,6.59
Krépin Diatta,Monaco,"M(LR),FW",8,877,1,0,2,0,1.3,83.6,1.5,0,6.59
Diogo Leite,Union Berlin,D(C),13,1099,0,1,1,1,0.5,80.0,2.2,0,6.59
Éderson,Atalanta,M(C),8,744,0,0,1,0,1.2,78.9,0.4,0,6.59
MBala Nzola,Spezia,FW,15,1350,7,0,4,0,2.3,80.4,1.4,1,6.59
Jakub Kiwior,Spezia,"D(C),DMC",15,1291,0,0,2,0,0.7,85.9,1.3,0,6.59
Kasper Schmeichel,Nice,GK,13,1170,0,0,0,0,0.0,73.5,0.1,0,6.59
Pierre Lees-Melou,Brest,M(CLR),12,973,2,0,3,1,1.3,86.0,0.6,0,6.59
Luiz Henrique,Real Betis,AM(LR),9,745,0,1,1,0,1.3,76.1,0.9,1,6.59
Álex Remiro,Real Sociedad,GK,14,1260,0,0,0,0,0.0,72.1,0.3,0,6.59
Yunus Musah,Valencia,AM(CR),10,849,0,2,5,0,0.7,82.8,0.8,0,6.59
Robin Zentner,Mainz,GK,15,1350,0,0,1,0,0.0,47.6,0.7,0,6.59
Riyad Mahrez,Man City,"AM(CLR),FW",4,371,1,0,1,0,1.3,90.0,0.2,0,6.59
Rubén García,Osasuna,"AM(CLR),FW",4,422,1,2,2,0,1.0,82.9,0.6,0,6.59
Andreaw Gravillon,Reims,D(CR),12,1035,0,0,3,0,0.7,75.8,1.2,0,6.59
Jadon Sancho,Man Utd,AM(CLR),10,723,2,1,0,0,0.7,83.2,0.2,0,6.58
Musa Barrow,Bologna,"AM(CL),FW",9,692,2,1,1,0,2.4,76.1,0.2,1,6.58
Koffi Djidji,Torino,D(CL),12,1075,1,0,0,0,0.3,86.3,1.4,1,6.58
Arbër Zeneli,Reims,"AM(LR),FW",9,676,0,2,0,0,1.6,76.3,0.2,1,6.58
Matz Sels,Strasbourg,GK,15,1350,0,0,1,0,0.0,64.1,0.3,1,6.58
Zakaria Aboukhlal,Toulouse,AM(LR),14,1174,3,3,2,0,2.4,71.3,0.3,1,6.58
Anthony Modeste,Borussia Dortmund,FW,7,720,2,1,3,0,1.6,60.2,1.8,0,6.58
Stefan Bell,Mainz,D(CR),9,891,0,0,5,0,0.2,80.6,2.6,0,6.58
Khéphren Thuram,Nice,DMC,10,910,0,2,1,0,0.4,88.9,0.4,0,6.58
Marcel Halstenberg,RBL,"D(CL),M(L)",7,677,0,1,0,0,0.3,85.3,0.9,0,6.58
Aimar Oroz,Osasuna,AM(C),9,778,2,1,3,0,0.8,80.1,0.5,0,6.58
Niklas Süle,Borussia Dortmund,D(CR),9,787,1,1,1,0,0.9,88.6,1.0,0,6.58
Oumar Gonzalez,AC Ajaccio,D(C),11,948,0,0,6,0,0.5,84.3,2.0,0,6.58
Danny Ings,Aston Villa,"AM(C),FW",8,725,5,0,3,0,1.7,74.6,0.9,2,6.58
Marc Cucurella,Chelsea,"D(CL),M(L)",11,851,0,2,2,0,0.4,86.3,0.5,0,6.58
Antonio Sanabria,Torino,FW,8,682,2,1,2,0,1.7,73.7,2.3,1,6.58
Íñigo Ruíz de Galarreta,Mallorca,DMC,10,858,0,0,5,0,0.6,86.3,0.3,0,6.58
Daniel Carvajal,Real Madrid,D(R),10,877,0,1,3,0,0.5,87.1,0.3,0,6.58
Josh Doig,Verona,"D(CL),M(L)",5,498,2,1,0,0,0.9,69.4,0.7,0,6.57
Gabri Veiga,Celta Vigo,M(C),6,576,3,1,3,1,1.2,79.7,0.6,1,6.57
Douglas Luiz,Aston Villa,M(C),10,929,1,2,1,1,0.6,85.1,0.9,0,6.57
Gary Medel,Bologna,"D(C),DMC",14,1142,0,1,4,0,0.1,88.5,0.8,0,6.57
Marcos Acuña,Sevilla,"D(CL),M(CL)",7,554,0,0,4,1,0.9,77.3,1.0,0,6.57
Simon Terodde,Schalke,FW,13,1058,3,0,3,0,1.8,67.6,2.1,2,6.57
Ruslan Malinovskyi,Atalanta,"M(CR),FW",5,539,1,2,2,0,1.4,79.5,0.3,0,6.57
José Sá,Wolves,GK,15,1350,0,0,0,0,0.0,69.9,0.2,1,6.57
Dean Henderson,Nottingham Forest,GK,15,1350,0,0,2,0,0.0,57.5,0.1,2,6.57
Rico Henry,Brentford,"D(L),M(L)",15,1347,0,1,0,0,0.5,75.6,1.2,0,6.57
João Moutinho,Wolves,M(C),11,1000,0,0,2,0,0.7,85.8,0.3,0,6.57
David Raum,RBL,"D(L),M(LR)",12,1035,0,1,2,0,0.5,80.6,0.6,0,6.57
Martin Erlic,Sassuolo,D(C),10,869,0,0,1,0,0.0,88.8,1.2,0,6.57
Isco,Sevilla,"M(CLR),FW",10,803,0,2,5,0,0.3,86.8,0.4,0,6.57
Paul Jaeckel,Union Berlin,"D(C),DMC",8,798,1,0,1,0,0.2,79.9,1.1,1,6.57
Robin Le Normand,Real Sociedad,D(C),9,815,0,0,3,0,0.1,92.8,2.0,0,6.57
Marc Guéhi,Crystal Palace,D(C),14,1260,0,0,5,0,0.3,89.0,1.2,0,6.57
Jacob Ramsey,Aston Villa,AM(C),12,1026,2,2,4,0,0.7,84.6,0.3,1,6.57
Vincent Marchetti,AC Ajaccio,M(C),14,1206,0,1,3,0,1.3,82.0,0.1,0,6.56
Chidera Ejuke,Hertha Berlin,"AM(CLR),FW",9,791,0,3,0,0,1.4,82.7,0.3,0,6.56
Maxime Lopez,Sassuolo,M(CR),12,1081,0,0,5,0,0.5,88.7,0.2,0,6.56
Thibaut Courtois,Real Madrid,GK,10,900,0,0,0,0,0.0,82.2,0.2,0,6.56
Norbert Gyömbér,Salernitana,"D(CR),DMC",10,736,0,0,3,0,0.2,87.0,1.1,0,6.56
Marco Richter,Hertha Berlin,"AM(CLR),FW",5,526,3,2,3,0,1.7,68.7,0.2,0,6.56
Kamaldeen Sulemana,Rennes,AM(L),2,258,1,0,1,0,0.9,86.0,0.4,0,6.56
Niko Gießelmann,Union Berlin,"D(CL),M(L)",7,653,0,2,2,0,1.1,74.9,1.0,0,6.56
Callum Hudson-Odoi,Leverkusen,M(CLR),5,480,0,1,0,0,0.2,89.0,0.0,0,6.56
Jarrod Bowen,West Ham,"AM(CLR),FW",15,1343,2,0,0,0,2.3,74.0,0.7,1,6.56
Donyell Malen,Borussia Dortmund,"AM(L),FW",9,679,0,1,0,0,1.8,77.9,0.3,0,6.56
Micky van de Ven,Wolfsburg,D(C),15,1350,1,0,3,0,0.4,88.4,1.1,1,6.56
Abdelhamid Sabiri,Sampdoria,"AM(CL),FW",10,844,1,0,3,0,2.2,73.1,2.3,1,6.56
Stéphane Diarra,Lorient,AM(R),8,620,1,0,1,0,1.0,70.3,0.4,1,6.56
Melvin Bard,Nice,D(L),10,927,0,0,3,0,0.2,83.1,1.1,0,6.56
Antonee Robinson,Fulham,"D(L),M(L)",13,1109,0,0,4,0,0.1,75.1,1.1,0,6.56
Lewis Cook,Bournemouth,M(CL),13,1193,0,2,2,0,0.2,80.9,0.3,0,6.56
David Silva,Real Sociedad,"M(CLR),FW",11,827,0,0,2,0,1.0,86.6,0.3,0,6.56
Andrea Cambiaso,Bologna,"D(R),M(L)",11,911,0,2,2,0,0.5,78.6,0.2,0,6.56
Birama Touré,Auxerre,DMC,15,1336,0,0,1,0,0.7,84.5,1.3,0,6.56
Andrej Kramaric,Hoffenheim,"AM(CLR),FW",11,1031,3,2,1,0,1.7,80.3,0.3,0,6.56
Cengiz Ünder,Marseille,AM(CLR),6,554,0,1,0,0,1.1,75.0,0.4,0,6.56
Joe Rodon,Rennes,D(C),9,808,1,0,2,1,0.8,89.2,2.8,1,6.55
Monchu,Real Valladolid,DMC,8,657,1,1,4,0,0.7,81.4,0.3,1,6.55
Jorginho,Chelsea,DMC,11,906,2,0,3,0,0.4,84.6,0.5,0,6.55
John McGinn,Aston Villa,M(C),12,1059,0,0,4,0,1.2,79.6,0.9,0,6.55
Igor Zubeldia,Real Sociedad,"D(C),DMC",8,719,1,0,3,0,0.4,87.2,1.2,1,6.55
Santiago Ascacíbar,Cremonese,DMC,7,701,0,0,1,0,1.2,82.2,0.8,0,6.55
Dani Rodríguez,Mallorca,AM(CLR),8,694,0,2,5,0,0.5,82.4,0.2,0,6.55
Jonathan Ikoné,Fiorentina,"AM(CLR),FW",9,835,2,2,2,0,1.5,84.9,0.4,0,6.55
Maximilian Kilman,Wolves,D(C),15,1350,0,0,0,0,0.3,83.4,2.3,0,6.55
Juan Musso,Atalanta,GK,10,818,0,0,1,0,0.0,66.9,0.0,0,6.55
Joel Ward,Crystal Palace,"D(CLR),DMC,M(R)",11,1021,0,0,4,0,0.0,76.1,1.9,0,6.55
Pierre Kalulu,AC Milan,D(CR),10,1038,0,0,1,0,0.5,89.1,0.7,0,6.55
Tiago Tomás,Stuttgart,"AM(CR),FW",9,726,2,2,1,0,1.3,60.9,0.2,0,6.55
Rayan Cherki,Lyon,AM(R),1,215,0,3,1,0,0.8,81.5,0.0,0,6.55
Joris Chotard,Montpellier,DMC,11,956,0,1,3,0,0.3,82.6,0.2,0,6.55
Moise Kean,Juventus,"AM(LR),FW",6,487,4,0,2,0,1.5,75.8,0.2,1,6.55
Julian Weigl,Borussia M.Gladbach,"D(C),DMC",10,903,0,0,3,0,0.2,88.1,1.0,0,6.55
Anthony Lopes,Lyon,GK,12,1017,0,0,0,1,0.0,78.0,0.1,0,6.55
Jonny,Wolves,"D(CLR),M(LR)",11,982,0,0,3,0,0.7,85.4,0.9,0,6.55
José Fonte,Lille,D(C),14,1260,1,0,4,0,0.6,89.7,2.2,1,6.55
Pathé Ciss,Rayo Vallecano,DMC,6,638,1,0,3,0,0.8,85.8,0.9,1,6.55
Unai García,Osasuna,D(C),13,1119,0,1,4,1,0.3,79.5,1.6,0,6.55
Moussa Djenepo,Southampton,M(LR),5,524,0,1,0,0,0.2,77.2,0.3,0,6.55
Pervis Estupiñán,Brighton,D(L),8,635,0,0,3,0,0.4,81.2,1.1,0,6.55
Amos Pieper,Werder Bremen,D(C),13,1104,0,1,6,0,0.5,78.3,2.1,0,6.54
Jordan Lotomba,Nice,"D(LR),M(R)",10,934,0,0,2,0,0.4,84.7,0.7,0,6.54
Rodrigo Ely,Almeria,D(C),14,1235,0,0,2,1,0.6,83.2,2.4,0,6.54
Iván Balliu,Rayo Vallecano,"D(R),M(R)",14,1260,0,0,2,0,0.3,82.0,0.8,0,6.54
Sandi Lovric,Udinese,AM(C),9,770,2,1,1,0,1.9,83.3,0.1,0,6.54
Christopher Trimmel,Union Berlin,"D(CR),M(R)",10,927,0,2,1,0,0.5,64.9,0.5,0,6.54
Maxime Le Marchand,Strasbourg,D(CL),12,971,0,0,3,1,0.3,81.0,2.3,0,6.54
Danny Ward,Leicester,GK,15,1350,0,0,0,0,0.0,70.2,0.3,1,6.54
Óscar Gil,Espanyol,D(R),10,870,0,1,4,0,0.5,80.3,0.4,0,6.54
David Alaba,Real Madrid,"D(CL),M(CL)",13,1167,1,3,3,0,0.6,90.2,0.3,0,6.54
Naouirou Ahamada,Stuttgart,M(C),15,1241,2,0,2,0,1.0,85.4,0.5,0,6.54
Noah Fadiga,Brest,D(R),9,655,1,0,0,0,0.8,82.3,0.2,0,6.54
Amine Harit,Marseille,"AM(CLR),FW",6,515,0,0,2,0,0.6,84.4,0.1,0,6.54
Aitor Ruibal,Real Betis,"D(R),M(LR)",5,558,0,0,1,0,0.5,77.6,0.3,0,6.54
Tyrone Mings,Aston Villa,D(CL),13,1170,0,0,3,0,0.1,83.0,1.7,0,6.54
David de Gea,Man Utd,GK,14,1260,0,0,0,0,0.0,65.5,0.1,0,6.54
Ronaël Pierre-Gabriel,Strasbourg,"D(CLR),M(R)",7,636,0,1,3,0,0.2,79.9,0.6,0,6.54
Conor Coady,Everton,"D(CR),DMC",14,1251,1,1,1,0,0.2,85.3,1.0,0,6.54
Yassine Bounou,Sevilla,GK,13,1037,0,0,2,0,0.0,69.4,0.0,1,6.54
Scott McTominay,Man Utd,"D(C),DMC",6,637,0,0,5,0,0.5,82.3,1.5,0,6.54
Julián Álvarez,Man City,"AM(R),FW",3,358,3,0,0,0,0.9,86.8,0.3,1,6.54
Alessandro Bastoni,Inter,D(C),9,732,0,1,2,0,0.4,87.8,1.2,0,6.54
Omar Marmoush,Wolfsburg,"AM(L),FW",8,689,2,0,2,0,1.6,64.6,1.9,0,6.54
Kiliann Sildillia,Freiburg,D(R),13,1160,0,2,2,0,0.4,75.1,1.6,0,6.54
Colin Dagba,Strasbourg,"D(R),M(R)",6,465,0,0,1,0,0.2,85.1,0.2,0,6.54
Rodrigo De Paul,Atletico,"AM(CLR),FW",9,674,1,1,2,0,0.7,84.0,0.2,1,6.54
Jonathan Tah,Leverkusen,D(C),14,1221,1,0,4,0,0.4,89.3,1.7,0,6.54
Matías Vecino,Lazio,M(C),9,814,1,0,1,0,1.1,84.5,0.6,0,6.54
Lilian Brassier,Brest,D(CL),14,1202,0,0,2,0,0.4,79.2,1.2,0,6.54
Matteo Darmian,Inter,"D(CLR),M(LR)",6,502,0,2,2,0,0.0,78.0,0.4,0,6.54
Jeffrey Schlupp,Crystal Palace,"D(L),M(CLR)",12,1096,0,0,3,0,0.9,80.0,0.6,0,6.54
