Player,Team,Position,Apps,Mins,Goals,Assists,YelCard,RedCard,SpG,PS,AerialsWon,MotM,Ratting
Stefan Savic,Atletico,D(C),10,886,0,0,3,0,0.0,87.8,2.4,0,6.77
Álex Moreno,Real Betis,"D(L),M(L)",13,1170,0,3,1,0,0.8,78.6,0.5,0,6.77
Pasquale Mazzocchi,Salernitana,"D(R),M(LR)",15,1208,2,2,2,0,0.7,80.3,0.5,1,6.77
Ben Davies,Tottenham,"D(CL),M(L)",11,995,2,1,1,0,0.6,86.7,1.7,0,6.77
Karim Onisiwo,Mainz,"AM(LR),FW",15,1309,4,1,3,0,2.4,61.9,2.1,1,6.76
Dan Burn,Newcastle,"D(CL),M(L)",14,1227,0,0,2,0,0.6,79.9,2.1,0,6.76
Felix Nmecha,Wolfsburg,M(C),6,665,2,2,2,0,1.2,71.8,1.2,0,6.76
Marius Wolf,Borussia Dortmund,"D(R),M(CLR)",5,516,1,1,1,0,1.0,73.3,0.4,3,6.76
Andreas Pereira,Fulham,M(CLR),15,1251,2,4,3,0,1.3,68.1,0.3,1,6.76
Sergio Ramos,PSG,D(CR),12,1012,0,1,3,1,0.4,95.6,1.5,0,6.76
Jordan Veretout,Marseille,M(C),10,983,1,2,1,0,0.6,86.4,0.5,1,6.76
Eric Dier,Tottenham,"D(CR),DMC",14,1285,2,0,1,0,0.6,87.6,1.9,0,6.76
Mohamed Simakan,RBL,D(CR),9,673,1,1,0,0,0.7,84.2,1.2,0,6.76
Gavi,Barcelona,AM(CL),9,803,0,1,2,0,0.4,90.6,0.9,0,6.76
Gregor Kobel,Borussia Dortmund,GK,11,990,0,0,0,0,0.0,81.1,0.4,0,6.76
Gonzalo Plata,Real Valladolid,AM(R),6,594,0,2,0,0,1.1,79.0,0.2,0,6.75
Dante,Nice,D(C),14,1260,0,0,3,0,0.6,91.3,2.0,0,6.75
Denzel Dumfries,Inter,"D(R),M(R)",13,1085,1,2,2,0,1.3,78.3,1.3,0,6.75
Yunis Abdelhamid,Reims,D(C),15,1350,0,0,1,0,1.0,81.2,1.9,0,6.75
Vicente Guaita,Crystal Palace,GK,14,1260,0,0,1,0,0.0,74.4,0.4,2,6.75
Johan Gastien,Clermont Foot,DMC,14,1218,1,2,4,0,0.6,84.6,0.4,0,6.75
César Azpilicueta,Chelsea,"D(CLR),M(R)",7,672,0,0,2,0,0.3,83.1,1.5,0,6.75
Steve Mandanda,Rennes,GK,13,1126,0,1,1,0,0.0,68.0,0.3,0,6.75
Lazar Samardzic,Udinese,M(C),4,523,3,1,0,0,1.1,87.4,0.3,0,6.75
Mario Lemina,Nice,DMC,10,728,0,0,1,1,0.5,90.4,0.3,0,6.75
